issue,subject,company,response,product_area,status,request_type,justification
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.",Claude access lost,Claude,"If you have lost access to your Claude team workspace because your seat was removed, please note that human specialist support is not directly available for non-owner or non-admin account seats. You will need to contact your organization's Primary Owner, Owner, or Console Admin, as they are the only ones authorized to manage workspace access and can reach out to our support team on your behalf if further assistance is required.",account_access,replied,product_issue,The support corpus explicitly states that human specialist support is not available for non-owner/non-admin team members and that these users must have their workspace owner or admin reach out on their behalf.
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.",Test Score Dispute,HackerRank,"We understand your concern regarding your test results. Please note that HackerRank provides the assessment platform and reporting tools to recruiters, but we do not participate in hiring decisions or the evaluation of individual candidate performance. If you have questions about your score or the recruitment process, please reach out directly to the company that invited you to the test, as they are responsible for reviewing results and managing candidate progression.",test_grading,replied,product_issue,The provided documentation confirms that HackerRank provides the platform for recruiters to assess candidates and that hiring decisions are managed by the recruiters themselves. There is no internal policy or tool that allows HackerRank support to override test scores or intervene in a company's hiring process.
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.",Help,Visa,"I am sorry to hear about the issues you are experiencing with your purchase. Please note that Visa does not manage individual cardholder or merchant accounts, as these are handled by your financial institution. If you have concerns regarding a merchant, you can report them by filling out the form available on our support page. For assistance with a transaction dispute or refund, please contact your card issuer directly using the phone number found on the back of your card.",dispute_resolution,replied,product_issue,"The provided corpus clarifies that Visa does not manage individual accounts and directs consumers to their financial institution (issuer) for transaction disputes, while providing a form for merchant concerns."
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,"I am sorry to hear that you experienced issues during your mock interview. If you are not satisfied with your mock interview experience, please contact help@hackerrank.com so our support team can review your request. Please note that if you encounter technical issues, we recommend ensuring you have a stable internet connection and a quiet environment before starting your session.",mock_interviews,replied,product_issue,The support documentation explicitly directs users to contact help@hackerrank.com for refund requests related to dissatisfaction with mock interviews.
I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?,Give me my money,HackerRank,"I am sorry to hear you are experiencing issues with your payment. If your payment failed, please try refreshing the page and retrying the transaction. If any amount was deducted incorrectly, it will be refunded within 5–10 business days. For further assistance with your specific order, please contact help@hackerrank.com so our team can review your request.",billing_and_payments,replied,product_issue,"The support documentation advises users to retry failed payments and notes that incorrect deductions are refunded within 5-10 business days, while also directing users to contact help@hackerrank.com for further review."
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,"Thank you for reaching out. While I cannot personally fill out external security assessment forms, I can direct you to our available resources regarding our security and compliance standards. You may find information regarding our GDPR compliance, bias audit results, and general security best practices within our Knowledge Base under the 'Settings / GDPR and NYC AI Laws' and 'Settings / Company Level Admin Settings' sections. If you have specific questions that are not addressed in these documents, please let us know.",security_compliance,replied,product_issue,"The provided corpus does not contain a policy or process for filling out external vendor security forms, so I have directed the user to existing documentation on our security and compliance standards."
i can not able to see apply tab,"I need to practice, submissions not working",HackerRank,This issue needs specialized assistance from the HackerRank support team. I have escalated this ticket for human review.,user_interface,escalated,product_issue,Escalated because Gemini marked the retrieved evidence as insufficient for a safe grounded reply.
none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,This issue needs specialized assistance from the HackerRank support team. I have escalated this ticket for human review.,test_execution_engine,escalated,bug,Escalated because the ticket matches a critical-risk boundary: system_outage.
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,HackerRank,"I am sorry to hear you are experiencing issues with the Zoom connectivity check. To resolve this, please ensure that your network is not blocking the following domains: *.zoom.us, *.*.zoom.us, and zoom.us. Additionally, please ensure you are using the latest version of Google Chrome, Microsoft Edge, or Mozilla Firefox. If the issue persists, please contact support@hackerrank.com and include a screenshot of the error message you are receiving so we can investigate further.",test_environment_compatibility,replied,product_issue,"The response provides the specific network prerequisites for Zoom-powered calls and browser requirements found in the documentation, while directing the user to contact support with a screenshot if the issue remains unresolved."
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",,HackerRank,"Thank you for reaching out. Please contact the company that invited you to the assessment directly to request a reschedule, as they manage the scheduling and administration of your test.",assessment_scheduling,replied,product_issue,"The provided documentation indicates that interview and assessment scheduling is managed by the company via their HackerRank for Work account, so the candidate must contact the hiring company directly."
